"","Station","Period","Month","Ndays","Median","Pval","Pval_old"
"80","Hamilton_West_Hamilton_Mountain","2017-2019","August",66,20.35,0.0135,NA
"81","Hamilton_West_Hamilton_Mountain","2017-2019","September",61,17.5,0.5816,NA
"82","Hamilton_West_Hamilton_Mountain","2017-2019","October",68,10.1,0.0026,NA
"83","Hamilton_West_Hamilton_Mountain","2017-2019","November",63,1.7,0.1595,NA
"84","Hamilton_West_Hamilton_Mountain","2017-2019","December",62,-1.35,0.0296,NA
"85","Hamilton_West_Hamilton_Mountain","2020","January",23,-1.9,0.3443,0.3389
"86","Hamilton_West_Hamilton_Mountain","2020","February",13,-5.6,0.1574,0.1037
"87","Hamilton_West_Hamilton_Mountain","2020","March",21,3.7,0.0093,0.008
"88","Hamilton_West_Hamilton_Mountain","2020","April",22,5.3,0.6778,0.6896
"89","Hamilton_West_Hamilton_Mountain","2020","May",21,10.8,0.1816,0.1932
"90","Hamilton_West_Hamilton_Mountain","2020","June",22,20.5,0.0189,0.0222
"91","Hamilton_West_Hamilton_Mountain","2020","July",23,23.2,0.0332,NA
"92","Hamilton_West_Hamilton_Mountain","2020","August",21,20.4,0.9378,NA
"93","Hamilton_West_Hamilton_Mountain","2020","September",22,16.05,0.306,NA
"94","Hamilton_West_Hamilton_Mountain","2020","October",22,10.45,0.7859,NA
"95","Hamilton_West_Hamilton_Mountain","2020","November",21,5.1,0.0098,NA
"96","Hamilton_West_Hamilton_Mountain","2020","December",23,0.5,0.192,NA
"97","Kitchener_Waterloo","2017-2019","January",67,-5.1,0.0049,0.0039
"98","Kitchener_Waterloo","2017-2019","February",60,-3.55,0.8481,0.8601
"99","Kitchener_Waterloo","2017-2019","March",66,-1.1,0.2672,0.2163
"100","Kitchener_Waterloo","2017-2019","April",63,5.5,4e-04,0.0015
"101","Kitchener_Waterloo","2017-2019","May",69,12.5,0.0195,0.0098
"102","Kitchener_Waterloo","2017-2019","June",62,16.95,0.6129,0.64
"103","Kitchener_Waterloo","2017-2019","July",65,20.6,0.882,NA
"104","Kitchener_Waterloo","2017-2019","August",68,19.5,0.0054,NA
"105","Kitchener_Waterloo","2017-2019","September",62,16.55,0.3148,NA
"106","Kitchener_Waterloo","2017-2019","October",68,9.15,0.017,NA
"107","Kitchener_Waterloo","2017-2019","November",65,1,0.0763,NA
"108","Kitchener_Waterloo","2017-2019","December",64,-2.5,0.1644,NA
"109","Kitchener_Waterloo","2020","January",23,-3.2,0.3108,0.3079
"110","Kitchener_Waterloo","2020","February",20,-5.95,0.2174,0.2221
"111","Kitchener_Waterloo","2020","March",21,2.8,0.0105,0.0088
"112","Kitchener_Waterloo","2020","April",22,5,0.7127,0.7106
"113","Kitchener_Waterloo","2020","May",21,11.2,0.2892,0.278
"114","Kitchener_Waterloo","2020","June",21,19.4,0.0289,0.0269
"115","Kitchener_Waterloo","2020","July",23,21.8,0.0637,NA
"116","Kitchener_Waterloo","2020","August",21,19.3,0.7624,NA
"117","Kitchener_Waterloo","2020","September",22,15.3,0.4353,NA
"118","Kitchener_Waterloo","2020","October",22,8.95,0.7644,NA
"119","Kitchener_Waterloo","2020","November",20,4.4,0.0028,NA
"120","Kitchener_Waterloo","2020","December",23,-1.4,0.4517,NA
"121","London","2017-2019","January",67,-4.6,0.0056,0.0025
"122","London","2017-2019","February",60,-3.25,0.8042,0.7954
"123","London","2017-2019","March",66,-0.8,0.0733,0.0811
"124","London","2017-2019","April",63,6.2,0.0026,0.0029
"125","London","2017-2019","May",69,13.3,0.008,0.0011
"126","London","2017-2019","June",60,17.65,0.9779,0.9735
"127","London","2017-2019","July",66,21.1,0.7126,NA
"128","London","2017-2019","August",68,20.2,0.0988,NA
"129","London","2017-2019","September",61,18,0.876,NA
"130","London","2017-2019","October",68,10,0.0052,NA
"131","London","2017-2019","November",64,1.7,0.1099,NA
"132","London","2017-2019","December",63,-1.1,0.1278,NA
"133","London","2020","January",23,-1.5,0.1079,0.1095
"134","London","2020","February",19,-4.8,0.511,0.4879
"135","London","2020","March",22,3.35,0.0014,0.0018
"136","London","2020","April",22,5.65,0.5866,0.5815
"137","London","2020","May",21,11.8,0.3547,0.3515
"138","London","2020","June",22,19.95,0.0696,0.0714
"139","London","2020","July",23,23,0.0306,NA
"140","London","2020","August",21,19.5,0.3007,NA
"141","London","2020","September",22,16.15,0.1251,NA
"142","London","2020","October",20,10.15,0.8166,NA
"143","London","2020","November",21,5,0.0133,NA
"144","London","2020","December",22,-0.6,0.5245,NA
"145","Ottawa_Downtown","2017-2019","January",67,-8.8,9e-04,3e-04
"146","Ottawa_Downtown","2017-2019","February",59,-6.2,0.5149,0.5119
"147","Ottawa_Downtown","2017-2019","March",62,-1.6,0.2908,0.202
"148","Ottawa_Downtown","2017-2019","April",60,5,0.0948,0.1167
"149","Ottawa_Downtown","2017-2019","May",67,13.5,0.0024,0.0038
"150","Ottawa_Downtown","2017-2019","June",61,17,0.8108,0.7961
"151","Ottawa_Downtown","2017-2019","July",65,22.2,0.0466,NA
"152","Ottawa_Downtown","2017-2019","August",66,20.25,0.0366,NA
"153","Ottawa_Downtown","2017-2019","September",62,15.85,0.0228,NA
"154","Ottawa_Downtown","2017-2019","October",66,9.3,2e-04,NA
"155","Ottawa_Downtown","2017-2019","November",62,0.1,0.5794,NA
"156","Ottawa_Downtown","2017-2019","December",56,-5.25,0.2811,NA
"157","Ottawa_Downtown","2020","January",23,-7.4,0.4597,0.4758
"158","Ottawa_Downtown","2020","February",20,-6.3,0.963,0.9616
"159","Ottawa_Downtown","2020","March",22,0.95,0.0409,0.0473
"160","Ottawa_Downtown","2020","April",22,4.1,0.7342,0.7425
"161","Ottawa_Downtown","2020","May",20,12.75,0.6517,0.6657
"162","Ottawa_Downtown","2020","June",22,19.2,0.0467,0.0472
"163","Ottawa_Downtown","2020","July",23,23.2,0.0698,NA
"164","Ottawa_Downtown","2020","August",21,19.5,0.2874,NA
"165","Ottawa_Downtown","2020","September",22,14.1,0.1898,NA
"166","Ottawa_Downtown","2020","October",21,7.5,0.0562,NA
"167","Ottawa_Downtown","2020","November",21,2.7,0.0495,NA
"168","Ottawa_Downtown","2020","December",23,-2.3,0.1345,NA
"169","Parry_Sound","2017-2019","January",53,-5.6,0.1357,0.0741
"170","Parry_Sound","2017-2019","February",36,-6.65,0.1674,NA
"171","Parry_Sound","2017-2019","March",44,-3.05,0.754,NA
"172","Parry_Sound","2017-2019","April",53,4.2,0.2619,0.2531
"173","Parry_Sound","2017-2019","May",67,11.6,0.0077,0.0132
"174","Parry_Sound","2017-2019","June",63,16.8,0.193,0.2225
"175","Parry_Sound","2017-2019","July",65,20.8,0.0165,NA
"176","Parry_Sound","2017-2019","August",67,20,0.0039,NA
"177","Parry_Sound","2017-2019","September",61,16.3,0.3292,NA
"178","Parry_Sound","2017-2019","October",67,10,0.001,NA
"179","Parry_Sound","2017-2019","November",65,1.1,0.3535,NA
"180","Parry_Sound","2017-2019","December",62,-3.7,0.0035,NA
"181","Parry_Sound","2020","January",23,-4,0.6383,0.6625
"182","Parry_Sound","2020","February",20,-4.9,0.5561,0.5942
"183","Parry_Sound","2020","March",22,1.2,0.0084,0.0165
"184","Parry_Sound","2020","April",21,3,0.2735,0.2878
"185","Parry_Sound","2020","May",21,10,0.3341,0.3384
"186","Parry_Sound","2020","June",22,17.75,0.1901,0.1893
"187","Parry_Sound","2020","July",23,21.6,0.1601,NA
"188","Parry_Sound","2020","August",21,18.7,0.0957,NA
"189","Parry_Sound","2020","September",19,13.9,0.0151,NA
"190","Parry_Sound","2020","October",22,7.75,0.2822,NA
"191","Parry_Sound","2020","November",21,4.6,0.0153,NA
"192","Parry_Sound","2020","December",23,-1.8,0.1866,NA
"193","Sarnia","2017-2019","January",54,-4.75,0.05,0.0273
"194","Sarnia","2017-2019","February",55,-1.8,0.548,0.5411
"195","Sarnia","2017-2019","March",57,-0.6,0.412,0.4434
"196","Sarnia","2017-2019","April",53,5.5,0.0133,0.0096
"197","Sarnia","2017-2019","May",56,13.5,0.3003,0.3232
"198","Sarnia","2017-2019","June",55,17.6,0.4659,0.517
"199","Sarnia","2017-2019","July",63,21.9,0.8156,NA
"200","Sarnia","2017-2019","August",67,21.3,0.2528,NA
"201","Sarnia","2017-2019","September",58,18.15,0.9563,NA
"202","Sarnia","2017-2019","October",63,11.4,0.0376,NA
"203","Sarnia","2017-2019","November",62,2.45,0.0351,NA
"204","Sarnia","2017-2019","December",60,-0.5,0,NA
"205","Sarnia","2020","January",23,-0.6,0.0144,0.0192
"206","Sarnia","2020","February",20,-3.05,0.5356,0.5283
"207","Sarnia","2020","March",22,3.5,1e-04,6e-04
"208","Sarnia","2020","April",22,4.05,0.3046,0.352
"209","Sarnia","2020","May",21,13.5,0.998,0.9898
"210","Sarnia","2020","June",20,20.35,0.0619,0.0759
"211","Sarnia","2020","July",23,23.5,0.1221,NA
"212","Sarnia","2020","August",21,20.1,0.0841,NA
"213","Sarnia","2020","September",22,15.8,0.0959,NA
"214","Sarnia","2020","October",17,11.7,0.6867,NA
"215","Sarnia","2020","November",21,6.1,0.0043,NA
"216","Sarnia","2020","December",23,0.9,0.2143,NA
"217","Toronto_Downtown","2017-2019","January",63,-3.8,0.0262,0.0125
"218","Toronto_Downtown","2017-2019","February",59,-1.1,0.3846,0.3567
"219","Toronto_Downtown","2017-2019","March",61,1,0.5842,0.6246
"220","Toronto_Downtown","2017-2019","April",58,6.2,0.0029,0.0036
"221","Toronto_Downtown","2017-2019","May",58,12.25,0.0723,0.0628
"222","Toronto_Downtown","2017-2019","June",49,17.8,0.5109,0.5424
"223","Toronto_Downtown","2017-2019","July",60,21.9,0.0222,NA
"224","Toronto_Downtown","2017-2019","August",67,21.7,0,NA
"225","Toronto_Downtown","2017-2019","September",57,18.2,0.1234,NA
"226","Toronto_Downtown","2017-2019","October",68,11.45,0.0051,NA
"227","Toronto_Downtown","2017-2019","November",59,3.5,0.0223,NA
"228","Toronto_Downtown","2017-2019","December",60,0.15,0.0018,NA
"229","Toronto_Downtown","2020","January",21,-0.7,0.1832,0.1743
"230","Toronto_Downtown","2020","February",20,-2.1,0.6075,0.6295
"231","Toronto_Downtown","2020","March",22,4,0.0019,0.0035
"232","Toronto_Downtown","2020","April",22,6.4,0.8726,0.8185
"233","Toronto_Downtown","2020","May",21,11.5,0.5273,0.5192
"234","Toronto_Downtown","2020","June",21,18.7,0.2203,0.2419
"235","Toronto_Downtown","2020","July",23,23.3,0.0295,NA
"236","Toronto_Downtown","2020","August",21,20.9,0.3846,NA
"237","Toronto_Downtown","2020","September",22,16.95,0.1217,NA
"238","Toronto_Downtown","2020","October",22,10.95,0.5661,NA
"239","Toronto_Downtown","2020","November",20,7.2,0.0017,NA
"240","Toronto_Downtown","2020","December",23,1.2,0.4439,NA
"241","Toronto_East","2017-2019","January",23,-6.7,NA,NA
"242","Toronto_East","2017-2019","February",19,-4.8,NA,NA
"243","Toronto_East","2017-2019","March",21,-0.6,NA,NA
"244","Toronto_East","2017-2019","April",21,6.3,NA,NA
"245","Toronto_East","2017-2019","May",20,11.4,NA,NA
