Station,Pollutant,Period,Month,Pval_mean,Pval_med
Burlington,O3,2017-2019,April,0.5341,0.9386
Burlington,O3,2017-2019,May,6e-4,0.0024
Burlington,O3,2017-2019,June,0.8414,0.425
Burlington,O3,2020,January,0.3848,0.2833
Burlington,O3,2020,February,0.0213,0.2803
Burlington,O3,2020,March,0.0276,0.0713
Burlington,O3,2020,April,0.1224,0.0625
Burlington,O3,2020,May,0.7731,0.453
Burlington,O3,2020,June,0.0072,0.0012
Burlington,PM25,2017-2019,January,0.4736,0.3564
Burlington,PM25,2017-2019,February,0.2232,0.5137
Burlington,PM25,2017-2019,March,0.0017,0.0124
Burlington,PM25,2017-2019,April,0.2959,0.5532
Burlington,PM25,2017-2019,May,0.1702,0.01
Burlington,PM25,2017-2019,June,0.0274,0.094
Burlington,PM25,2020,January,0.1271,0.0598
Burlington,PM25,2020,February,0.0147,0.0638
Burlington,PM25,2020,March,0.9451,0.809
Burlington,PM25,2020,April,0.1741,0.9334
Burlington,PM25,2020,May,0.4184,0.6468
Burlington,PM25,2020,June,0.0786,0.1761
Burlington,NO2,2017-2019,January,0.5924,0.6423
Burlington,NO2,2017-2019,February,0.2428,0.2712
Burlington,NO2,2017-2019,March,0.0015,0.0156
Burlington,NO2,2017-2019,April,0.0191,0.022
Burlington,NO2,2017-2019,May,0.1218,0.2403
Burlington,NO2,2017-2019,June,0.6792,0.2166
Burlington,NO2,2020,January,0.7498,0.7353
Burlington,NO2,2020,February,0.0938,0.5839
Burlington,NO2,2020,March,0.5771,0.8836
Burlington,NO2,2020,April,0.061,0.0813
Burlington,NO2,2020,May,0.0465,0.043
Burlington,NO2,2020,June,0.7352,0.4893
Brampton,O3,2017-2019,January,0.3271,0.2198
Brampton,O3,2017-2019,February,0.5656,0.9264
Brampton,O3,2017-2019,March,0.77,0.7899
Brampton,O3,2017-2019,April,0.1172,0.3148
Brampton,O3,2017-2019,May,0,9e-4
Brampton,O3,2017-2019,June,0.5044,0.1004
Brampton,O3,2020,January,0.9523,0.1307
Brampton,O3,2020,February,0.0067,0.1035
Brampton,O3,2020,March,0.0075,0.006
Brampton,O3,2020,April,0.014,0.03
Brampton,O3,2020,May,0.7566,0.2285
Brampton,O3,2020,June,0.0028,0.0139
Brampton,PM25,2017-2019,January,0.4364,0.8239
Brampton,PM25,2017-2019,February,0.3582,0.8919
Brampton,PM25,2017-2019,March,0.0186,0.0211
Brampton,PM25,2017-2019,April,0.1613,0.8683
Brampton,PM25,2017-2019,May,0.0146,0.0158
Brampton,PM25,2017-2019,June,0.8207,0.7871
Brampton,PM25,2020,January,0.9301,0.6015
Brampton,PM25,2020,February,0.0256,0.0466
Brampton,PM25,2020,March,0.4726,0.2091
Brampton,PM25,2020,April,0.2245,0.3194
Brampton,PM25,2020,May,0.4337,0.2988
Brampton,PM25,2020,June,0.1936,0.1539
Brampton,NO2,2017-2019,January,0.7375,0.8087
Brampton,NO2,2017-2019,February,0.947,0.362
Brampton,NO2,2017-2019,March,0.18,0.8499
Brampton,NO2,2017-2019,April,0.6668,0.7729
Brampton,NO2,2017-2019,May,0.8818,0.8478
Brampton,NO2,2017-2019,June,0.504,0.3785
Brampton,NO2,2020,January,0.8306,0.8946
Brampton,NO2,2020,February,0.004,0.0735
Brampton,NO2,2020,March,0.7428,0.5134
Brampton,NO2,2020,April,0.0012,0.0198
Brampton,NO2,2020,May,0.0301,0.0379
Brampton,NO2,2020,June,0.1526,0.4572
Chatham,O3,2017-2019,January,0.1075,0.072
Chatham,O3,2017-2019,February,0.3067,0.5548
Chatham,O3,2017-2019,March,0.0228,0.2297
Chatham,O3,2017-2019,April,0.0929,0.0074
Chatham,O3,2017-2019,May,0.0383,0.3198
Chatham,O3,2017-2019,June,0.42,0.3814
Chatham,O3,2020,January,0.9015,0.1601
Chatham,O3,2020,February,0.0294,0.1851
Chatham,O3,2020,March,0,4e-4
Chatham,O3,2020,April,0.5467,0.1776
Chatham,O3,2020,May,0.2409,0.1563
Chatham,O3,2020,June,0.1086,0.0669
Chatham,PM25,2017-2019,January,0.275,0.8862
Chatham,PM25,2017-2019,February,0.6392,0.8897
Chatham,PM25,2017-2019,March,0.0036,1e-4
Chatham,PM25,2017-2019,April,0.6495,0.9409
Chatham,PM25,2017-2019,May,0.0773,0.031
Chatham,PM25,2017-2019,June,0.6727,0.1959
Chatham,PM25,2020,January,0.369,0.5126
Chatham,PM25,2020,February,0.0674,0.2393
Chatham,PM25,2020,March,0.1333,0.0771
Chatham,PM25,2020,April,0.7977,0.7817
Chatham,PM25,2020,May,0.5047,0.6713
Chatham,PM25,2020,June,0.2925,0.2693
Chatham,NO2,2017-2019,January,0.0093,0.0098
Chatham,NO2,2017-2019,February,0.1438,0.1196
Chatham,NO2,2017-2019,March,0.001,0.0051
Chatham,NO2,2017-2019,April,0.1223,0.1006
Chatham,NO2,2017-2019,May,0.0651,0.235
Chatham,NO2,2017-2019,June,0,2e-4
Chatham,NO2,2020,January,0.3026,0.269
Chatham,NO2,2020,February,0.0089,0.09
Chatham,NO2,2020,March,0.5133,0.9732
Chatham,NO2,2020,April,0.0228,8e-4
Chatham,NO2,2020,May,0.0111,0.1397
Chatham,NO2,2020,June,0.7957,0.6592
Cornwall,O3,2017-2019,January,0.7638,0.8168
Cornwall,O3,2017-2019,February,0.6339,0.6442
Cornwall,O3,2017-2019,March,0.0475,0.1997
Cornwall,O3,2017-2019,April,0.1344,0.0329
Cornwall,O3,2017-2019,May,9e-4,0
Cornwall,O3,2017-2019,June,0.787,0.7295
Cornwall,O3,2020,January,0.3673,0.4241
Cornwall,O3,2020,February,0.8052,0.6522
Cornwall,O3,2020,March,0.0728,0.0169
Cornwall,O3,2020,April,0.2074,0.2606
Cornwall,O3,2020,May,0.7222,0.3375
Cornwall,O3,2020,June,0.2048,0.0311
Cornwall,PM25,2017-2019,January,0.1826,0.8535
Cornwall,PM25,2017-2019,February,0.5048,0.0681
Cornwall,PM25,2017-2019,March,0.5272,0.1739
Cornwall,PM25,2017-2019,April,0.2955,0.565
Cornwall,PM25,2017-2019,May,0.026,0.0379
Cornwall,PM25,2017-2019,June,0.0644,0.0035
Cornwall,PM25,2020,January,0.9771,0.3173
Cornwall,PM25,2020,February,0.6907,0.6884
Cornwall,PM25,2020,March,0.9297,0.147
Cornwall,PM25,2020,April,0.556,0.0465
Cornwall,PM25,2020,May,0.1371,0.2187
Cornwall,PM25,2020,June,0.0038,0.0021
Cornwall,NO2,2017-2019,January,0.2079,0.2503
Cornwall,NO2,2017-2019,February,0.9514,0.9955
Cornwall,NO2,2017-2019,March,0.771,0.7447
Cornwall,NO2,2017-2019,April,0.1942,0.048
Cornwall,NO2,2017-2019,May,0.7797,0.4404
Cornwall,NO2,2017-2019,June,8e-4,0.005
Cornwall,NO2,2020,January,0.9482,0.9753
Cornwall,NO2,2020,February,0.9513,0.4347
Cornwall,NO2,2020,March,0.0947,0.8951
Cornwall,NO2,2020,April,0.6754,0.5074
Cornwall,NO2,2020,May,0.7972,0.8302
Cornwall,NO2,2020,June,0.6962,0.0759
Grand_Bend,O3,2017-2019,January,0.0338,0.0239
Grand_Bend,O3,2017-2019,February,0.2464,0.304
Grand_Bend,O3,2017-2019,March,0.0011,0.0542
Grand_Bend,O3,2017-2019,April,0.0027,5e-4
Grand_Bend,O3,2017-2019,May,0.0828,0.441
Grand_Bend,O3,2017-2019,June,0.962,0.8847
Grand_Bend,O3,2020,January,0.3017,0.541
Grand_Bend,O3,2020,February,0.013,0.0786
Grand_Bend,O3,2020,March,0,2e-4
Grand_Bend,O3,2020,April,0.8677,0.791
Grand_Bend,O3,2020,May,0.4953,0.893
Grand_Bend,O3,2020,June,0.0745,0.1567
Grand_Bend,PM25,2017-2019,January,0.2715,0.5812
Grand_Bend,PM25,2017-2019,February,0.7747,0.5557
Grand_Bend,PM25,2017-2019,March,3e-4,0.0056
Grand_Bend,PM25,2017-2019,April,0.0196,0.0868
Grand_Bend,PM25,2017-2019,May,7e-4,3e-4
Grand_Bend,PM25,2017-2019,June,0.0142,0.02
Grand_Bend,PM25,2020,January,0.8613,0.8368
Grand_Bend,PM25,2020,February,0.0164,0.0224
Grand_Bend,PM25,2020,March,0.8169,0.5787
Grand_Bend,PM25,2020,April,0.9613,0.5555
Grand_Bend,PM25,2020,May,0.4843,0.7078
Grand_Bend,PM25,2020,June,0.3113,0.171
Grand_Bend,NO2,2017-2019,January,0.0999,0.6537
Grand_Bend,NO2,2017-2019,February,0.0729,0.43
Grand_Bend,NO2,2017-2019,March,0.2196,0.2582
Grand_Bend,NO2,2017-2019,April,0.1756,0.4667
Grand_Bend,NO2,2017-2019,May,0,0
Grand_Bend,NO2,2017-2019,June,0.3763,0.2074
Grand_Bend,NO2,2020,January,0.0052,0.0243
Grand_Bend,NO2,2020,February,0,2e-4
Grand_Bend,NO2,2020,March,0.8835,0.9439
Grand_Bend,NO2,2020,April,0.0059,0.0141
Grand_Bend,NO2,2020,May,0.3499,0.7717
Grand_Bend,NO2,2020,June,0.2899,0.1549
Guelph,O3,2017-2019,January,0.6477,0.7327
Guelph,O3,2017-2019,February,0.7425,0.8906
Guelph,O3,2017-2019,March,0.7687,0.6913
Guelph,O3,2017-2019,April,0.0215,0.0805
Guelph,O3,2017-2019,May,0,1e-4
Guelph,O3,2017-2019,June,0.0761,0.0684
