Station,Period,Month,Pval_mean,Pval_med
Toronto,2017-2019,March,0.596,0.2499
Toronto,2017-2019,April,0,0
Toronto,2017-2019,May,0,0
Toronto,2017-2019,June,0.2695,0.7957
Toronto,2020,January,0.0144,0.2654
Toronto,2020,February,0.3943,0.4868
Toronto,2020,March,0,6e-4
Toronto,2020,April,0.5665,0.8073
Toronto,2020,May,0.1016,0.285
Toronto,2020,June,0.0574,0.0066
Toronto_Downtown,2017-2019,January,0.0301,0.1399
Toronto_Downtown,2017-2019,February,0.0083,0.1049
Toronto_Downtown,2017-2019,March,0.306,0.5598
Toronto_Downtown,2017-2019,April,0,0
Toronto_Downtown,2017-2019,May,0.0042,0.1432
Toronto_Downtown,2017-2019,June,0.486,0.868
Toronto_Downtown,2020,January,0.0047,0.0654
Toronto_Downtown,2020,February,0.4211,0.802
Toronto_Downtown,2020,March,1e-4,0.0012
Toronto_Downtown,2020,April,0.9083,0.8404
Toronto_Downtown,2020,May,0.1936,0.6601
Toronto_Downtown,2020,June,0.2144,0.2236
Toronto_East,2017-2019,January,NA,NA
Toronto_East,2017-2019,February,NA,NA
Toronto_East,2017-2019,March,NA,NA
Toronto_East,2017-2019,April,NA,NA
Toronto_East,2017-2019,May,NA,NA
Toronto_East,2017-2019,June,NA,NA
Toronto_East,2020,January,0.0021,0.0127
Toronto_East,2020,February,0.423,0.4023
Toronto_East,2020,March,0.0012,0.0079
Toronto_East,2020,April,0.5897,0.6222
Toronto_East,2020,May,0.825,0.6219
Toronto_East,2020,June,0.0161,0.0419
Toronto_North,2017-2019,January,0.0067,0.0081
Toronto_North,2017-2019,February,0.0213,0.2298
Toronto_North,2017-2019,March,0.7003,0.6202
Toronto_North,2017-2019,April,0,0
Toronto_North,2017-2019,May,0,2e-4
Toronto_North,2017-2019,June,0.4738,0.9497
Toronto_North,2020,January,0.0193,0.0652
Toronto_North,2020,February,0.376,0.6229
Toronto_North,2020,March,2e-4,5e-4
Toronto_North,2020,April,0.5914,0.9906
Toronto_North,2020,May,0.2733,0.7713
Toronto_North,2020,June,0.0208,0.0093
Windsor_Downtown_Windsor_West,2017-2019,January,0.0375,0.1845
