Station,Pollutant,Year,Month,Min.,1st Qu.,Median,Mean,3rd Qu.,Max.
Belleville,O3,2017-2019,May,18.583333333333332,30.541666666666668,35.416666666666664,36.04626754083276,39.875,59.5
Belleville,O3,2017-2019,June,16.916666666666668,26.520833333333336,30.291666666666668,31.926982409125266,35.10416666666667,62.416666666666664
Belleville,O3,2020,January,16.958333333333332,24.25,26.666666666666668,27.21376811594203,30.729166666666668,33.583333333333336
Belleville,O3,2020,February,23.458333333333332,31.010416666666668,33.89583333333333,32.68333333333334,36.083333333333336,37.291666666666664
Belleville,O3,2020,March,23.791666666666668,29.0625,31.3125,32.10227272727273,34.9375,43.416666666666664
Belleville,O3,2020,April,26.625,35.083333333333336,36.666666666666664,36.645833333333336,39.447916666666664,42.541666666666664
Belleville,O3,2020,May,24.041666666666668,31.375,35.041666666666664,34.186791383219955,37.208333333333336,41.666666666666664
Belleville,O3,2020,June,22.608695652173914,31.541666666666668,36.90670289855072,37.320509941310334,42.34375,52.21739130434783
Belleville,PM25,2017-2019,January,0,3.525815217391304,5.1875,6.336467294427653,7.6875,20.333333333333332
Belleville,PM25,2017-2019,February,2.0833333333333335,3.5729166666666665,5.145833333333334,6.249206349206349,8.5,22.75
Belleville,PM25,2017-2019,March,1.5833333333333333,3.0104166666666665,4.041666666666667,5.3357683982683985,7.1875,16.25
Belleville,PM25,2017-2019,April,0.9583333333333334,3.0833333333333335,4.729166666666666,5.015232974910394,5.927083333333333,15.083333333333334
Belleville,PM25,2017-2019,May,1.1666666666666667,3.9166666666666665,5.458333333333333,6.27593767815885,8.333333333333334,13.625
Belleville,PM25,2017-2019,June,0.625,2.8958333333333335,4.633333333333333,5.146907379854712,6.21875,16.125
Belleville,PM25,2020,January,2.1666666666666665,3.958333333333333,5.125,6.304347826086956,8.541666666666666,12.875
Belleville,PM25,2020,February,2.375,3.2604166666666665,4.291666666666666,5.6154761904761905,6.739583333333333,14.583333333333334
Belleville,PM25,2020,March,3.75,4.3125,5.645833333333333,6.170454545454546,6.96875,11.625
Belleville,PM25,2020,April,2.6666666666666665,3.5416666666666665,4.458333333333334,4.7897727272727275,5.666666666666667,8.5
Belleville,PM25,2020,May,3.0833333333333335,4.153846153846154,5.541666666666667,6.636294261294261,8.583333333333334,15.958333333333334
Belleville,PM25,2020,June,2.125,4.645833333333333,7.125,6.929334869675778,9.37689393939394,12.166666666666666
Belleville,NO2,2017-2019,January,1.2208333333333334,3.310416666666667,5.158333333333333,5.63176247771836,6.976041666666667,15.1125
Belleville,NO2,2017-2019,February,1.3583333333333334,3.4885416666666664,4.55625,5.834455266955267,7.714583333333334,13.641666666666666
Belleville,NO2,2017-2019,March,0.6583333333333333,2.2020833333333334,3.1458333333333335,3.957963564213564,5.071875,17.204166666666666
Belleville,NO2,2017-2019,April,0.8625,2.114583333333333,2.9583333333333335,3.527102478418268,3.966666666666667,12.529166666666667
Belleville,NO2,2017-2019,May,0.7083333333333334,2.029166666666667,2.9583333333333335,3.1084224752703014,3.941666666666667,7.658333333333333
Belleville,NO2,2017-2019,June,1.3958333333333333,2.291666666666667,2.9833333333333334,3.2315527726242013,3.927083333333333,6.375
Belleville,NO2,2020,January,2.3541666666666665,3.8041666666666667,4.820833333333334,6.127173913043478,6.485416666666667,16.691666666666666
Belleville,NO2,2020,February,1.4208333333333334,2.792708333333333,3.8041666666666667,5.024583333333333,6.164583333333333,13.9125
Belleville,NO2,2020,March,1.425,2.4895833333333335,3.3125,3.5767045454545454,4.148958333333333,9.408333333333333
Belleville,NO2,2020,April,0.8333333333333334,1.7729166666666667,2.4645833333333336,2.511931818181818,3.471875,4.216666666666667
Belleville,NO2,2020,May,0.9458333333333333,1.6375,2.75,3.1154195011337866,3.6291666666666664,8.35
Belleville,NO2,2020,June,1.2625,1.8979166666666667,2.4456521739130435,2.7133923224338243,2.978668478260869,5.791666666666667
Brantford,O3,2017-2019,January,7.708333333333333,20.8125,26.261363636363637,25.298892053527602,30.3125,35.416666666666664
Brantford,O3,2017-2019,February,11.041666666666666,24.635416666666668,31.020833333333332,29.479292929292928,34.53125,39.375
Brantford,O3,2017-2019,March,16.833333333333332,32.145833333333336,35.02083333333333,34.47348484848485,37.791666666666664,49.333333333333336
Brantford,O3,2017-2019,April,24.833333333333332,31.229166666666664,33.833333333333336,34.37367724867725,37.8125,48.583333333333336
Brantford,O3,2017-2019,May,17.916666666666668,29.25,34.375,34.36854570550223,38.208333333333336,58.72727272727273
Brantford,O3,2017-2019,June,17.666666666666668,27.333333333333336,31.333333333333332,32.32545172219085,37.64583333333333,55.541666666666664
Brantford,O3,2020,January,10.083333333333334,22.125,26.73913043478261,25.65524574669187,30.208333333333332,36.666666666666664
Brantford,O3,2020,February,26.82608695652174,29.462862318840582,31.729166666666664,32.154347826086955,33.822916666666664,39
Brantford,O3,2020,March,19.333333333333332,25.515899122807017,29.55163043478261,28.61984259066639,32.03125,40.26086956521739
Brantford,O3,2020,April,27.291666666666668,32.791666666666664,36.1875,35.22817852437418,37.333333333333336,40.833333333333336
Brantford,O3,2020,May,22.083333333333332,28.583333333333332,31.75,31.248706004140786,34.833333333333336,39.04347826086956
Brantford,O3,2020,June,25.391304347826086,31.50317028985507,34.52083333333333,35.36627140974967,39.12364130434783,49.25
Brantford,PM25,2017-2019,January,1.5416666666666667,4.34375,7.0625,7.810369859926496,9.9375,19.625
Brantford,PM25,2017-2019,February,1.8333333333333333,4.65625,8.083333333333332,8.4433170995671,10.21875,23.541666666666668
Brantford,PM25,2017-2019,March,1.5833333333333333,4.177083333333333,5.125,7.148260555869252,9.53125,19.666666666666668
Brantford,PM25,2017-2019,April,1.375,4.229166666666666,5.583333333333333,6.2738670347366,7.979166666666666,17.333333333333332
Brantford,PM25,2017-2019,May,1.5,4.75,7.083333333333333,7.493658801153081,9.958333333333334,16.25
Brantford,PM25,2017-2019,June,1,4.75,6.583333333333333,6.743243114688031,8.482142857142858,17.916666666666668
Brantford,PM25,2020,January,1.9166666666666667,3.583333333333333,6.708333333333333,7.369565217391305,10.541666666666668,18
Brantford,PM25,2020,February,2.25,3.59375,5.125,5.8547101449275365,6.971467391304348,11.083333333333334
Brantford,PM25,2020,March,2,5.145833333333333,6.791666666666666,7.263257575757576,9.979166666666666,10.916666666666666
Brantford,PM25,2020,April,0.8333333333333334,4.145833333333333,5.208333333333333,5.454545454545454,6.6875,10.333333333333334
Brantford,PM25,2020,May,1.4166666666666667,3.75,5.708333333333333,5.98015873015873,8.208333333333334,13.708333333333334
Brantford,PM25,2020,June,2.0416666666666665,6.177083333333333,7.1875,7.509469696969697,9.770833333333334,13.5
Brantford,NO2,2017-2019,January,1.5833333333333333,4.211458333333334,6.089583333333334,6.998780080213904,8.123958333333334,17.704166666666666
Brantford,NO2,2017-2019,February,1.6666666666666667,3.6,6.445833333333334,7.075896464646465,9.516666666666667,19.6125
Brantford,NO2,2017-2019,March,0.2916666666666667,3.1083333333333334,4.972916666666666,5.595747145366711,7.3204166666666675,19.8375
Brantford,NO2,2017-2019,April,0.8333333333333334,3.04375,4.941666666666666,5.0248677248677245,6.166666666666666,11.304166666666667
Brantford,NO2,2017-2019,May,0.9583333333333334,3.1333333333333333,4.6625,4.768926846100759,6.229166666666667,10.208333333333334
Brantford,NO2,2017-2019,June,1.1666666666666667,3.010416666666667,3.7916666666666665,4.165429810252465,5.31875,9.041666666666666
Brantford,NO2,2020,January,2.3333333333333335,4.110416666666667,5.504166666666666,6.793202583490863,8.372916666666667,19.825
Brantford,NO2,2020,February,2.2375,3.6166666666666667,5.245833333333334,5.396518719806763,7.0161684782608695,9.783333333333333
Brantford,NO2,2020,March,1.626086956521739,3.473958333333333,5.979166666666667,5.929873101726649,8.127581521739131,11.373913043478261
Brantford,NO2,2020,April,0.8833333333333333,2.192708333333333,3.3646739130434784,3.4492012516469037,4.503532608695652,7.858333333333333
Brantford,NO2,2020,May,1.6958333333333333,2.7695652173913046,3.6826086956521737,4.135653899240856,4.920833333333333,10.645833333333332
Brantford,NO2,2020,June,1.9125,3.152672101449275,3.3817934782608696,3.748731884057971,4.161458333333333,7.375
Burlington,O3,2017-2019,January,7.916666666666667,19.291666666666668,23.229166666666664,22.522161582024115,26.291666666666668,32.625
Burlington,O3,2017-2019,February,9.666666666666666,22.104166666666668,27.791666666666664,26.804166666666667,31.625,36.166666666666664
Burlington,O3,2017-2019,March,16.875,29.25,32.583333333333336,31.839646464646464,35.125,44.375
Burlington,O3,2017-2019,April,20.083333333333332,30.416666666666664,33.75,33.72132034632035,36.60416666666667,45.75
Burlington,O3,2017-2019,May,16.291666666666668,30.125,32.541666666666664,33.90738910847607,37.375,55.916666666666664
Burlington,O3,2017-2019,June,18.958333333333332,26.270833333333336,29.375,31.079696068826504,36.9375,53.208333333333336
Burlington,O3,2020,January,12.125,20,25.375,23.708333333333332,28.125,32.041666666666664
Burlington,O3,2020,February,21.541666666666668,28.6875,29.28030303030303,30.340530303030302,32.270833333333336,38.583333333333336
Burlington,O3,2020,March,16.208333333333332,24.677083333333332,29.791666666666664,28.801136363636363,31.635416666666668,38.416666666666664
Burlington,O3,2020,April,21.958333333333332,32.427083333333336,36.625,35.645833333333336,38.052083333333336,43.333333333333336
Burlington,O3,2020,May,23.791666666666668,28.958333333333332,31.458333333333332,33.36507936507937,39.541666666666664,50.125
