Station,Pollutant,Period,Month,Pval_mean,Pval_med
Burlington,O3,2017-2019,April,0.2209,0.7487
Burlington,O3,2017-2019,May,0,2e-4
Burlington,O3,2017-2019,June,0.7648,0.856
Burlington,O3,2020,January,0.5328,0.2781
Burlington,O3,2020,February,0.141,0.4122
Burlington,O3,2020,March,0.0226,0.0192
Burlington,O3,2020,April,0.1425,0.0302
Burlington,O3,2020,May,0.807,0.3837
Burlington,O3,2020,June,0.0644,0.0382
Burlington,PM25,2017-2019,January,0.3698,0.6241
Burlington,PM25,2017-2019,February,0.5065,0.5541
Burlington,PM25,2017-2019,March,9e-4,0.0107
Burlington,PM25,2017-2019,April,0.5526,0.7486
Burlington,PM25,2017-2019,May,0.0332,0.0085
Burlington,PM25,2017-2019,June,0.0895,0.0782
Burlington,PM25,2020,January,0.0183,0.009
Burlington,PM25,2020,February,0.1521,0.4311
Burlington,PM25,2020,March,0.626,0.889
Burlington,PM25,2020,April,0.5395,0.4691
Burlington,PM25,2020,May,0.3208,0.3858
Burlington,PM25,2020,June,0.2784,0.552
Burlington,NO2,2017-2019,January,0.6739,0.532
Burlington,NO2,2017-2019,February,0.3247,0.1624
Burlington,NO2,2017-2019,March,0.0049,0.2158
Burlington,NO2,2017-2019,April,0.1261,0.0272
Burlington,NO2,2017-2019,May,0.0615,0.3403
Burlington,NO2,2017-2019,June,0.9422,0.4093
Burlington,NO2,2020,January,0.2691,0.0667
Burlington,NO2,2020,February,0.355,0.9662
Burlington,NO2,2020,March,0.3893,0.5046
Burlington,NO2,2020,April,0.0415,0.1662
Burlington,NO2,2020,May,0.016,0.0358
Burlington,NO2,2020,June,0.5474,0.3836
Brampton,O3,2017-2019,January,0.1831,0.2162
Brampton,O3,2017-2019,February,0.465,0.8331
Brampton,O3,2017-2019,March,0.4812,0.4934
Brampton,O3,2017-2019,April,0.0384,0.1147
Brampton,O3,2017-2019,May,1e-4,0.0016
Brampton,O3,2017-2019,June,0.3448,0.7354
Brampton,O3,2020,January,0.9423,0.5096
Brampton,O3,2020,February,0.0528,0.079
Brampton,O3,2020,March,0.0037,0.0023
Brampton,O3,2020,April,0.1053,0.1599
Brampton,O3,2020,May,0.6958,0.0764
Brampton,O3,2020,June,0.0293,0.0353
Brampton,PM25,2017-2019,January,0.2539,0.4639
Brampton,PM25,2017-2019,February,0.7786,0.8963
Brampton,PM25,2017-2019,March,0.0079,0.014
Brampton,PM25,2017-2019,April,0.4598,0.9209
Brampton,PM25,2017-2019,May,0.0021,0.0187
Brampton,PM25,2017-2019,June,0.4591,0.6713
Brampton,PM25,2020,January,0.2896,0.2235
Brampton,PM25,2020,February,0.1694,0.2471
Brampton,PM25,2020,March,0.8,0.3016
Brampton,PM25,2020,April,0.7012,0.8276
Brampton,PM25,2020,May,0.1885,0.1114
Brampton,PM25,2020,June,0.6178,0.7216
Brampton,NO2,2017-2019,January,0.6079,0.6697
Brampton,NO2,2017-2019,February,0.9577,0.2582
Brampton,NO2,2017-2019,March,0.2283,0.5332
Brampton,NO2,2017-2019,April,0.7885,0.5407
Brampton,NO2,2017-2019,May,0.8667,0.975
Brampton,NO2,2017-2019,June,0.3808,0.5563
Brampton,NO2,2020,January,0.6491,0.6868
Brampton,NO2,2020,February,0.0189,0.1677
Brampton,NO2,2020,March,0.9536,0.7629
Brampton,NO2,2020,April,0.0027,0.0199
Brampton,NO2,2020,May,0.0015,0.002
Brampton,NO2,2020,June,0.0314,0.4265
Chatham,O3,2017-2019,January,0.0458,0.1045
Chatham,O3,2017-2019,February,0.1117,0.0664
Chatham,O3,2017-2019,March,5e-4,0.2255
Chatham,O3,2017-2019,April,0.4628,0.1865
Chatham,O3,2017-2019,May,0.0285,0.0328
Chatham,O3,2017-2019,June,0.0578,0.2753
Chatham,O3,2020,January,0.6538,0.3545
Chatham,O3,2020,February,0.0733,0.2671
Chatham,O3,2020,March,0,0
Chatham,O3,2020,April,0.2573,0.1433
Chatham,O3,2020,May,0.5563,0.5142
Chatham,O3,2020,June,0.2732,0.1307
Chatham,PM25,2017-2019,January,0.1418,0.3727
Chatham,PM25,2017-2019,February,0.8447,0.5221
Chatham,PM25,2017-2019,March,0.001,0.0022
Chatham,PM25,2017-2019,April,0.739,0.8778
Chatham,PM25,2017-2019,May,0.0117,0.0265
Chatham,PM25,2017-2019,June,0.5591,0.3342
Chatham,PM25,2020,January,0.1661,0.3686
Chatham,PM25,2020,February,0.1123,0.5898
Chatham,PM25,2020,March,0.5177,0.4662
Chatham,PM25,2020,April,0.8503,0.5568
Chatham,PM25,2020,May,0.3268,0.8375
Chatham,PM25,2020,June,0.9936,0.5836
Chatham,NO2,2017-2019,January,6e-4,0.0012
Chatham,NO2,2017-2019,February,0.1921,0.5916
Chatham,NO2,2017-2019,March,4e-4,0.0019
Chatham,NO2,2017-2019,April,0.1522,0.121
Chatham,NO2,2017-2019,May,0.0221,0.2728
Chatham,NO2,2017-2019,June,0,0
Chatham,NO2,2020,January,0.8916,0.7156
Chatham,NO2,2020,February,0.012,0.0855
Chatham,NO2,2020,March,0.0762,0.2372
Chatham,NO2,2020,April,0.0015,0.0016
Chatham,NO2,2020,May,0.0023,0.0122
Chatham,NO2,2020,June,0.703,0.854
Cornwall,O3,2017-2019,January,0.9795,0.6106
Cornwall,O3,2017-2019,February,0.5925,0.7679
Cornwall,O3,2017-2019,March,0.0028,0.0052
Cornwall,O3,2017-2019,April,0.1384,0.0413
Cornwall,O3,2017-2019,May,0,6e-4
Cornwall,O3,2017-2019,June,0.6556,0.7603
Cornwall,O3,2020,January,0.2083,0.0921
Cornwall,O3,2020,February,0.3414,0.1472
Cornwall,O3,2020,March,0.0721,0.013
Cornwall,O3,2020,April,0.405,0.8401
Cornwall,O3,2020,May,0.7952,0.5334
Cornwall,O3,2020,June,0.7734,0.1541
Cornwall,PM25,2017-2019,January,0.2487,0.6662
Cornwall,PM25,2017-2019,February,0.3831,0.1321
Cornwall,PM25,2017-2019,March,0.169,0.5554
Cornwall,PM25,2017-2019,April,0.3415,0.304
Cornwall,PM25,2017-2019,May,0.0012,2e-4
Cornwall,PM25,2017-2019,June,0.0442,0.0083
Cornwall,PM25,2020,January,0.8197,0.53
Cornwall,PM25,2020,February,0.5439,0.951
Cornwall,PM25,2020,March,0.7658,0.1928
Cornwall,PM25,2020,April,0.1449,0.0082
Cornwall,PM25,2020,May,0.1586,0.1576
Cornwall,PM25,2020,June,0.0222,0.0076
Cornwall,NO2,2017-2019,January,0.1988,0.1964
Cornwall,NO2,2017-2019,February,0.8398,0.6819
Cornwall,NO2,2017-2019,March,0.1245,0.2129
Cornwall,NO2,2017-2019,April,0.1799,0.0598
Cornwall,NO2,2017-2019,May,0.3149,0.1201
Cornwall,NO2,2017-2019,June,0.0136,0.0181
Cornwall,NO2,2020,January,0.8617,0.9406
Cornwall,NO2,2020,February,0.4082,0.5912
Cornwall,NO2,2020,March,0.059,0.7744
Cornwall,NO2,2020,April,0.4907,0.6703
Cornwall,NO2,2020,May,0.7422,0.9354
Cornwall,NO2,2020,June,0.8116,0.8334
Grand_Bend,O3,2017-2019,January,0.006,0.0106
Grand_Bend,O3,2017-2019,February,0.0588,0.0207
Grand_Bend,O3,2017-2019,March,0,7e-4
Grand_Bend,O3,2017-2019,April,0.0084,0.0056
Grand_Bend,O3,2017-2019,May,0.0196,0.2523
Grand_Bend,O3,2017-2019,June,0.2888,0.8715
Grand_Bend,O3,2020,January,0.6328,0.8906
Grand_Bend,O3,2020,February,0.0684,0.1096
Grand_Bend,O3,2020,March,0,0
Grand_Bend,O3,2020,April,0.4665,0.6872
Grand_Bend,O3,2020,May,0.4057,0.4195
Grand_Bend,O3,2020,June,0.1682,0.1254
Grand_Bend,PM25,2017-2019,January,0.1074,0.145
Grand_Bend,PM25,2017-2019,February,0.7844,0.9336
Grand_Bend,PM25,2017-2019,March,0,0.0025
Grand_Bend,PM25,2017-2019,April,0.3397,0.6521
Grand_Bend,PM25,2017-2019,May,1e-4,0
Grand_Bend,PM25,2017-2019,June,0.0139,5e-4
Grand_Bend,PM25,2020,January,0.3549,0.3441
Grand_Bend,PM25,2020,February,0.0836,0.1654
Grand_Bend,PM25,2020,March,0.3311,0.7191
Grand_Bend,PM25,2020,April,0.6707,0.3584
Grand_Bend,PM25,2020,May,0.6768,0.8925
Grand_Bend,PM25,2020,June,0.6356,0.3728
Grand_Bend,NO2,2017-2019,January,0.046,0.2921
Grand_Bend,NO2,2017-2019,February,0.1073,0.5519
Grand_Bend,NO2,2017-2019,March,0.0868,0.1776
Grand_Bend,NO2,2017-2019,April,0.1578,0.1729
Grand_Bend,NO2,2017-2019,May,0,0
Grand_Bend,NO2,2017-2019,June,0.0873,0.1292
Grand_Bend,NO2,2020,January,7e-4,4e-4
Grand_Bend,NO2,2020,February,0,0
Grand_Bend,NO2,2020,March,0.5103,0.9079
Grand_Bend,NO2,2020,April,0.0276,0.2445
Grand_Bend,NO2,2020,May,0.2662,0.9049
Grand_Bend,NO2,2020,June,0.7861,0.5073
Guelph,O3,2017-2019,January,0.4326,0.5592
Guelph,O3,2017-2019,February,0.8693,0.9398
Guelph,O3,2017-2019,March,0.8051,0.5118
Guelph,O3,2017-2019,April,8e-4,0.0061
Guelph,O3,2017-2019,May,0,0
Guelph,O3,2017-2019,June,0.0608,0.0675
Guelph,O3,2020,January,0.4404,0.274
Guelph,O3,2020,February,0.1645,0.2194
Guelph,O3,2020,March,0,0
Guelph,O3,2020,April,0.629,0.7308
Guelph,O3,2020,May,0.2467,0.6317
Guelph,O3,2020,June,0.3693,0.116
Guelph,PM25,2017-2019,January,0.3415,0.3282
Guelph,PM25,2017-2019,February,0.5679,0.7159
Guelph,PM25,2017-2019,March,0.0018,0.0021
Guelph,PM25,2017-2019,April,0.5787,0.9238
Guelph,PM25,2017-2019,May,1e-4,0.0028
Guelph,PM25,2017-2019,June,0.3896,0.484
Guelph,PM25,2020,January,0.2788,0.2067
Guelph,PM25,2020,February,0.1616,0.454
Guelph,PM25,2020,March,0.5863,0.1945
Guelph,PM25,2020,April,0.8435,0.3882
Guelph,PM25,2020,May,0.3651,0.2906
Guelph,PM25,2020,June,0.0859,0.0755
Guelph,NO2,2017-2019,January,0.058,0.0735
Guelph,NO2,2017-2019,February,0.2726,0.5923
Guelph,NO2,2017-2019,March,0.0184,0.1689
Guelph,NO2,2017-2019,April,0.071,0.6905
Guelph,NO2,2017-2019,May,0.0643,0.0418
Guelph,NO2,2017-2019,June,0.5001,0.4665
Guelph,NO2,2020,January,0.7344,0.3789
Guelph,NO2,2020,February,0.0305,0.062
Guelph,NO2,2020,March,0.3667,0.2747
Guelph,NO2,2020,April,0.0221,0.073
Guelph,NO2,2020,May,0.1063,0.0951
Guelph,NO2,2020,June,0.0666,0.8548
Hamilton_Downtown,O3,2017-2019,January,0.6286,0.8336
Hamilton_Downtown,O3,2017-2019,February,0.4281,0.4499
Hamilton_Downtown,O3,2017-2019,March,0.3991,0.9666
Hamilton_Downtown,O3,2017-2019,April,0.0835,0.1072
Hamilton_Downtown,O3,2017-2019,May,4e-4,0.0453
Hamilton_Downtown,O3,2017-2019,June,0.2723,0.3433
Hamilton_Downtown,O3,2020,January,0.841,0.7662
Hamilton_Downtown,O3,2020,February,0.2039,0.5485
Hamilton_Downtown,O3,2020,March,0.001,4e-4
Hamilton_Downtown,O3,2020,April,0.5194,0.2739
Hamilton_Downtown,O3,2020,May,0.9317,0.2196
Hamilton_Downtown,O3,2020,June,0.0462,0.0184
Hamilton_Downtown,PM25,2017-2019,January,0.7311,0.8297
Hamilton_Downtown,PM25,2017-2019,February,0.7807,0.7453
Hamilton_Downtown,PM25,2017-2019,March,0.0169,0.0245
Hamilton_Downtown,PM25,2017-2019,April,0.3676,0.8765
Hamilton_Downtown,PM25,2017-2019,May,0.001,0.01
Hamilton_Downtown,PM25,2017-2019,June,0.1883,0.425
Hamilton_Downtown,PM25,2020,January,0.1864,0.1595
Hamilton_Downtown,PM25,2020,February,0.1698,0.5079
Hamilton_Downtown,PM25,2020,March,0.6524,0.4825
Hamilton_Downtown,PM25,2020,April,0.5477,0.4924
Hamilton_Downtown,PM25,2020,May,0.1276,0.1083
Hamilton_Downtown,PM25,2020,June,0.4972,0.9265
Hamilton_Downtown,NO2,2017-2019,January,0.8506,0.3981
Hamilton_Downtown,NO2,2017-2019,February,0.7062,0.2327
Hamilton_Downtown,NO2,2017-2019,March,0.1104,0.3098
Hamilton_Downtown,NO2,2017-2019,April,0.2839,0.5976
Hamilton_Downtown,NO2,2017-2019,May,0.0299,0.053900000000000003
Hamilton_Downtown,NO2,2017-2019,June,0.1231,0.0829
Hamilton_Downtown,NO2,2020,January,0.3385,0.4033
Hamilton_Downtown,NO2,2020,February,0.0604,0.4486
Hamilton_Downtown,NO2,2020,March,0.3722,0.6218
Hamilton_Downtown,NO2,2020,April,0.0269,0.1426
Hamilton_Downtown,NO2,2020,May,0.0191,0.1567
Hamilton_Downtown,NO2,2020,June,0.0036,0.0144
Hamilton_Downtown,CO,2017-2019,January,0.9311,0.6127
Hamilton_Downtown,CO,2017-2019,February,0.6298,0.1711
Hamilton_Downtown,CO,2017-2019,March,0.4586,0.5612
Hamilton_Downtown,CO,2017-2019,April,0.0899,0.0848
Hamilton_Downtown,CO,2017-2019,May,0.0452,0.3156
Hamilton_Downtown,CO,2017-2019,June,0.0035,0.0326
Hamilton_Downtown,CO,2020,January,0.1569,0.0703
Hamilton_Downtown,CO,2020,February,0.0088,0.0993
Hamilton_Downtown,CO,2020,March,0.9068,0.3195
Hamilton_Downtown,CO,2020,April,0.0019,0.0121
Hamilton_Downtown,CO,2020,May,0.0858,0.2952
Hamilton_Downtown,CO,2020,June,0.0782,0.1067
Hamilton_Downtown,SO2,2017-2019,January,0.0532,0.7594
Hamilton_Downtown,SO2,2017-2019,February,0.7693,0.2269
Hamilton_Downtown,SO2,2017-2019,March,0.3237,0.3576
Hamilton_Downtown,SO2,2017-2019,April,0.1624,0.3309
Hamilton_Downtown,SO2,2017-2019,May,0.0059,0.1013
Hamilton_Downtown,SO2,2017-2019,June,0.017,0.0266
Hamilton_Downtown,SO2,2020,January,0.3895,0.3306
Hamilton_Downtown,SO2,2020,February,0.2908,0.3467
Hamilton_Downtown,SO2,2020,March,0.6705,0.6533
Hamilton_Downtown,SO2,2020,April,0.6233,0.7464
Hamilton_Downtown,SO2,2020,May,0.3027,0.4717
Hamilton_Downtown,SO2,2020,June,0.1537,0.5057
Hamilton_West,O3,2017-2019,January,0.0817,0.1451
Hamilton_West,O3,2017-2019,February,0.1577,0.5938
Hamilton_West,O3,2017-2019,March,0.0967,0.1252
Hamilton_West,O3,2017-2019,April,0.0956,0.081
Hamilton_West,O3,2017-2019,May,0.0011,0.0743
Hamilton_West,O3,2017-2019,June,0.0388,0.2108
Hamilton_West,O3,2020,January,0.0927,0.0523
Hamilton_West,O3,2020,February,0.9152,0.6116
Hamilton_West,O3,2020,March,0.0233,0.0031
Hamilton_West,O3,2020,April,0.618,0.4637
Hamilton_West,O3,2020,May,0.5774,0.6787
Hamilton_West,O3,2020,June,0.0819,0.0132
Hamilton_West,PM25,2017-2019,January,0.4918,0.9473
Hamilton_West,PM25,2017-2019,February,0.5558,0.4924
Hamilton_West,PM25,2017-2019,March,0.0069,0.0984
Hamilton_West,PM25,2017-2019,April,0.2456,0.9028
Hamilton_West,PM25,2017-2019,May,0,6e-4
Hamilton_West,PM25,2017-2019,June,0.0266,0.3605
Hamilton_West,PM25,2020,January,0.1489,0.3266
Hamilton_West,PM25,2020,February,0.117,0.4555
Hamilton_West,PM25,2020,March,0.6833,0.76
Hamilton_West,PM25,2020,April,0.6662,0.7834
Hamilton_West,PM25,2020,May,0.1335,0.0397
Hamilton_West,PM25,2020,June,0.8717,0.8512
Hamilton_West,NO2,2017-2019,January,0.2686,0.2804
Hamilton_West,NO2,2017-2019,February,0.5506,0.4973
Hamilton_West,NO2,2017-2019,March,0.0222,0.0906
Hamilton_West,NO2,2017-2019,April,0.0869,0.282
Hamilton_West,NO2,2017-2019,May,0.0329,0.2175
Hamilton_West,NO2,2017-2019,June,0.011,0.0137
Hamilton_West,NO2,2020,January,0.6205,0.7509
Hamilton_West,NO2,2020,February,0.1045,0.4798
Hamilton_West,NO2,2020,March,0.4296,0.8179
Hamilton_West,NO2,2020,April,0.0712,0.568
Hamilton_West,NO2,2020,May,0.0384,0.0384
Hamilton_West,NO2,2020,June,0.0177,0.0905
Hamilton_Mountain,O3,2017-2019,January,0.1242,0.1191
Hamilton_Mountain,O3,2017-2019,February,0.4181,0.6528
Hamilton_Mountain,O3,2017-2019,March,0.0563,0.0483
Hamilton_Mountain,O3,2017-2019,April,0.1059,0.0791
Hamilton_Mountain,O3,2017-2019,May,0,0.0013
Hamilton_Mountain,O3,2017-2019,June,0.4782,0.8216
Hamilton_Mountain,O3,2020,January,0.6764,0.5785
Hamilton_Mountain,O3,2020,February,0.3611,0.9332
Hamilton_Mountain,O3,2020,March,1e-4,2e-4
Hamilton_Mountain,O3,2020,April,0.3173,0.0916
Hamilton_Mountain,O3,2020,May,0.4813,0.4744
Hamilton_Mountain,O3,2020,June,0.0595,0.031
Hamilton_Mountain,PM25,2017-2019,January,0.791,0.8768
Hamilton_Mountain,PM25,2017-2019,February,0.791,0.8087
Hamilton_Mountain,PM25,2017-2019,March,0.0083,0.0181
Hamilton_Mountain,PM25,2017-2019,April,0.3954,0.566
Hamilton_Mountain,PM25,2017-2019,May,0.0182,0.0628
Hamilton_Mountain,PM25,2017-2019,June,0.0428,0.0982
Hamilton_Mountain,PM25,2020,January,0.128,0.1153
Hamilton_Mountain,PM25,2020,February,0.1674,0.4665
Hamilton_Mountain,PM25,2020,March,0.6227,0.5386
Hamilton_Mountain,PM25,2020,April,0.4374,0.6599
Hamilton_Mountain,PM25,2020,May,0.0723,0.2229
Hamilton_Mountain,PM25,2020,June,0.8282,0.9229
Hamilton_Mountain,NO2,2017-2019,January,0.658,0.278
Hamilton_Mountain,NO2,2017-2019,February,0.5682,0.0717
Hamilton_Mountain,NO2,2017-2019,March,0.174,0.709
Hamilton_Mountain,NO2,2017-2019,April,0.094,0.5799
Hamilton_Mountain,NO2,2017-2019,May,0.3591,0.2876
Hamilton_Mountain,NO2,2017-2019,June,0.2001,0.703
Hamilton_Mountain,NO2,2020,January,0.3111,0.0571
Hamilton_Mountain,NO2,2020,February,0.307,0.7877
Hamilton_Mountain,NO2,2020,March,0.6695,0.3331
Hamilton_Mountain,NO2,2020,April,0.1608,0.5319
Hamilton_Mountain,NO2,2020,May,0.1768,0.3464
Hamilton_Mountain,NO2,2020,June,0.188,0.0862
Hamilton_Mountain,SO2,2017-2019,January,0.1617,0.207
Hamilton_Mountain,SO2,2017-2019,February,0.0056,0.0549
Hamilton_Mountain,SO2,2017-2019,March,0.1232,0.2289
Hamilton_Mountain,SO2,2017-2019,April,0.0058,0.1966
Hamilton_Mountain,SO2,2017-2019,May,0.0185,0.1713
Hamilton_Mountain,SO2,2017-2019,June,0.0033,0.0618
Hamilton_Mountain,SO2,2020,January,0.421,0.2029
Hamilton_Mountain,SO2,2020,February,0.5806,0.1391
Hamilton_Mountain,SO2,2020,March,0.0187,0.0172
Hamilton_Mountain,SO2,2020,April,0.9608,0.3892
Hamilton_Mountain,SO2,2020,May,0.1732,0.4347
Hamilton_Mountain,SO2,2020,June,0.6191,0.177
Kingston,O3,2017-2019,January,0.2592,0.473
Kingston,O3,2017-2019,February,0.1613,0.1508
Kingston,O3,2017-2019,March,0.0654,0.0219
Kingston,O3,2017-2019,April,0.0355,0.0083
Kingston,O3,2017-2019,May,1e-4,0.0012
Kingston,O3,2017-2019,June,0.5881,0.5336
Kingston,O3,2020,January,0.209,0.137
Kingston,O3,2020,February,0.4825,0.6226
Kingston,O3,2020,March,1e-4,0.0012
Kingston,O3,2020,April,0.2222,0.0807
Kingston,O3,2020,May,0.8643,0.5093
Kingston,O3,2020,June,0.3399,0.0741
