Station,Period,Month,Pval_mean,Pval_med
Sarnia,2020,May,0.2989,0.9898
Sarnia,2020,June,0.1438,0.0759
Toronto,2017-2019,January,0.0083,0.0134
Toronto,2017-2019,February,0.1226,0.3975
Toronto,2017-2019,March,0.562,0.1953
Toronto,2017-2019,April,5.00E-04,0.0021
Toronto,2017-2019,May,1.00E-04,0.0064
Toronto,2017-2019,June,0.646,0.9508
Toronto,2020,January,0.1389,0.5907
Toronto,2020,February,0.549,0.4233
Toronto,2020,March,3.00E-04,0.0047
Toronto,2020,April,0.5021,0.7842
Toronto,2020,May,0.164,0.7718
Toronto,2020,June,0.0293,0.0193
Toronto_Downtown,2017-2019,January,0.0378,0.0125
Toronto_Downtown,2017-2019,February,0.0727,0.3567
Toronto_Downtown,2017-2019,March,0.5315,0.6246
Toronto_Downtown,2017-2019,April,0.0013,0.0036
Toronto_Downtown,2017-2019,May,0.0127,0.0628
Toronto_Downtown,2017-2019,June,0.47,0.5424
Toronto_Downtown,2020,January,0.0888,0.1743
Toronto_Downtown,2020,February,0.562,0.6295
Toronto_Downtown,2020,March,1.00E-04,0.0035
Toronto_Downtown,2020,April,0.9397,0.8185
Toronto_Downtown,2020,May,0.2322,0.5192
Toronto_Downtown,2020,June,0.2768,0.2419
Toronto_East,2017-2019,January,NA,NA
Toronto_East,2017-2019,February,NA,NA
Toronto_East,2017-2019,March,NA,NA
Toronto_East,2017-2019,April,NA,NA
Toronto_East,2017-2019,May,NA,NA
Toronto_East,2017-2019,June,NA,NA
Toronto_East,2020,January,0.0379,0.1142
Toronto_East,2020,February,0.4426,0.7139
Toronto_East,2020,March,0.0021,0.0502
Toronto_East,2020,April,0.602,0.6894
Toronto_East,2020,May,0.7899,0.5726
Toronto_East,2020,June,0.028,0.1101
Toronto_North,2017-2019,January,0.0094,0.0035
Toronto_North,2017-2019,February,0.1257,0.4625
Toronto_North,2017-2019,March,0.7935,0.5571
Toronto_North,2017-2019,April,0.0077,0.0174
Toronto_North,2017-2019,May,1.00E-04,1.00E-04
Toronto_North,2017-2019,June,0.6496,0.8766
Toronto_North,2020,January,0.1506,0.5381
Toronto_North,2020,February,0.5302,0.5653
Toronto_North,2020,March,0.0016,0.0171
Toronto_North,2020,April,0.4448,0.5373
Toronto_North,2020,May,0.3522,0.8243
Toronto_North,2020,June,0.0127,0.0113
Windsor_Downtown_Windsor_West,2017-2019,January,0.042,0.0095
Windsor_Downtown_Windsor_West,2017-2019,February,0.0592,0.2009
Windsor_Downtown_Windsor_West,2017-2019,March,0.4564,0.3259
Windsor_Downtown_Windsor_West,2017-2019,April,2.00E-04,0.002
Windsor_Downtown_Windsor_West,2017-2019,May,0.0041,0.087
Windsor_Downtown_Windsor_West,2017-2019,June,0.241,0.4256
Windsor_Downtown_Windsor_West,2020,January,0.0492,0.1445
Windsor_Downtown_Windsor_West,2020,February,0.372,0.4025
Windsor_Downtown_Windsor_West,2020,March,7.00E-04,0.0051
Windsor_Downtown_Windsor_West,2020,April,0.1016,0.1197
Windsor_Downtown_Windsor_West,2020,May,0.1727,0.1506
Windsor_Downtown_Windsor_West,2020,June,0.07,0.0185
