Station,Pollutant,Year,Month,Min.,1st Qu.,Median,Mean,3rd Qu.,Max.
Barrie,O3,2017-2019,January,10.541666666666666,21.416666666666668,25.291666666666668,24.82541031120975,29.75,36.958333333333336
Barrie,O3,2017-2019,February,8.130434782608695,25.333333333333332,30.445652173913043,29.289503663784355,34.229166666666664,37.666666666666664
Barrie,O3,2017-2019,March,18.434782608695652,31.956521739130434,35.888888888888886,35.107876625205186,39.25,46.791666666666664
Barrie,O3,2017-2019,April,21.041666666666668,31.1875,34.50189393939394,34.55645042455571,38.125,48.916666666666664
Barrie,O3,2017-2019,May,15.708333333333334,27,31.958333333333332,32.114169393797724,36.5,50.166666666666664
Barrie,O3,2017-2019,June,12.625,23.041666666666668,27.770833333333336,27.682253086419752,31.947916666666668,52.875
Barrie,O3,2020,January,14.125,20.708333333333336,26.208333333333332,25.288412563667233,29.520833333333332,36.041666666666664
Barrie,O3,2020,February,15.416666666666666,28.583333333333332,33,31.051474262868567,35.375,36.958333333333336
Barrie,O3,2020,March,20.875,27.0625,31.416666666666668,31.044354838709676,34.9375,40.125
Barrie,O3,2020,April,22.166666666666668,30.708333333333332,33.9375,33.040277777777774,36.489583333333336,39.166666666666664
Barrie,O3,2020,May,17.416666666666668,27.8125,29.333333333333332,30.739564549522473,35.38988095238095,41.541666666666664
Barrie,O3,2020,June,16.416666666666668,24.010416666666668,28,29.736720465524815,36.687952898550726,48.333333333333336
Barrie,PM25,2017-2019,January,0.7083333333333334,3.9583333333333335,6.208333333333333,7.902846790890269,9.5,32.208333333333336
Barrie,PM25,2017-2019,February,1.8333333333333333,4.0625,6.625,8.28217007259983,10.1875,33.916666666666664
Barrie,PM25,2017-2019,March,0.5,3.4166666666666665,4.875,6.533450665743794,8.833333333333334,22.416666666666668
Barrie,PM25,2017-2019,April,0.3333333333333333,2.75,4.791666666666667,5.607493688975915,7.541666666666667,20.916666666666668
Barrie,PM25,2017-2019,May,0.3333333333333333,3.2916666666666665,6.833333333333333,6.875302767203188,9.375,16.791666666666668
Barrie,PM25,2017-2019,June,0,3.3854166666666665,6.083333333333333,6.493026161936008,9.1875,19.166666666666668
Barrie,PM25,2020,January,2,3.958333333333333,5.583333333333333,7.371505376344086,9.041666666666666,22.958333333333332
Barrie,PM25,2020,February,0.8333333333333334,3.625,6.541666666666667,7.611586252328381,9.291666666666666,26.166666666666668
Barrie,PM25,2020,March,2.5,4.479166666666667,6.5,7.397663521611628,9.979166666666666,14.583333333333334
Barrie,PM25,2020,April,2.375,5.166666666666667,6.854166666666667,7.359453227931489,8.854166666666666,15.5
Barrie,PM25,2020,May,1.25,3.9592391304347827,7.020833333333334,7.6844398266553,10.739583333333334,17.375
Barrie,PM25,2020,June,0.26666666666666666,2.3181818181818183,5.1875,6.4798862347969495,8.973958333333334,20.11111111111111
Barrie,NO2,2017-2019,January,1.6041666666666667,4.460416666666667,8.520833333333332,8.870767917267917,12.112594696969696,30.333333333333332
Barrie,NO2,2017-2019,February,1.2916666666666667,3.8645833333333335,6.081250000000001,7.727603521645812,10.808333333333334,21.583333333333332
Barrie,NO2,2017-2019,March,1.625,3.3833333333333333,5.2125,6.464995716372405,8.387500000000001,18.166666666666668
Barrie,NO2,2017-2019,April,1.125,2.884375,4.327651515151516,5.418286554703861,6.688179347826087,15.145454545454545
Barrie,NO2,2017-2019,May,1.5,3.591666666666667,4.758333333333333,5.158569035374786,6.35,12.708333333333334
Barrie,NO2,2017-2019,June,1.5,3.4791666666666665,4.504166666666666,4.957391975308642,6.208333333333333,12.370833333333334
Barrie,NO2,2020,January,3.0125,4.191666666666666,8.2875,8.832328805885682,10.922916666666666,24.825
Barrie,NO2,2020,February,2.6083333333333334,4.004166666666666,7.341666666666667,7.662768615692154,10.55,16.9
Barrie,NO2,2020,March,2.029166666666667,3.5708333333333337,4.904166666666667,6.2319892473118275,8.070833333333333,18.333333333333332
Barrie,NO2,2020,April,1.35,2.9,4.866666666666667,5.0085095520421605,6.669791666666667,10.841666666666667
Barrie,NO2,2020,May,1.7,2.5791666666666666,3.0875,4.208198924731183,6.252083333333333,9.625
Barrie,NO2,2020,June,1.4166666666666667,2.848958333333333,4.854166666666666,4.448441166321601,5.444791666666667,9.362499999999999
Belleville,O3,2017-2019,January,11.833333333333334,24.291666666666668,28.833333333333332,27.69352536586057,31.52173913043478,38.208333333333336
Belleville,O3,2017-2019,February,14.375,28.5625,32.75,31.577410305360615,36.09375,39.75
Belleville,O3,2017-2019,March,21.041666666666668,35.291666666666664,37.375,37.19334144895155,40.125,48.78260869565217
Belleville,O3,2017-2019,April,23.75,32.458333333333336,36.104166666666664,36.126814772438344,39.53947368421053,48.5
Belleville,O3,2017-2019,May,18.583333333333332,29.625,33.375,35.15852887048539,38.75,59.5
Belleville,O3,2017-2019,June,16.916666666666668,26.739583333333332,31.145833333333336,33.11124678461635,38.052083333333336,62.69565217391305
Belleville,O3,2020,January,16.958333333333332,24.333333333333332,27.916666666666668,27.289504441327722,30.4375,33.583333333333336
Belleville,O3,2020,February,23.458333333333332,30.916666666666668,33,32.27298850574713,35.958333333333336,38.25
Belleville,O3,2020,March,23.791666666666668,30.020833333333336,33.958333333333336,32.93022971652004,36.16666666666667,43.416666666666664
Belleville,O3,2020,April,26.625,35.083333333333336,37.5,36.71666666666667,39.989583333333336,42.541666666666664
Belleville,O3,2020,May,24.041666666666668,31.041666666666668,35.041666666666664,33.86578341013825,37.125,41.666666666666664
