"","Station","Pollutant","Period","Month","Ndays","Median","Pval","Pval_old"
"78","Belleville","O3","2017-2019","June",63,30.2916666666667,0.3695,0.3935
"79","Belleville","O3","2017-2019","July",66,31.125,0.2459,NA
"80","Belleville","O3","2017-2019","August",68,30.7916666666667,0.8678,NA
"81","Belleville","O3","2017-2019","September",62,23.2083333333333,0.6065,NA
"82","Belleville","O3","2017-2019","October",68,22.2291666666667,0.0724,NA
"83","Belleville","O3","2017-2019","November",65,22.9583333333333,0.0687,NA
"84","Belleville","O3","2017-2019","December",64,24.125,0.0198,NA
"85","Belleville","O3","2020","January",23,26.6666666666667,0.469,0.4634
"86","Belleville","O3","2020","February",20,33.8958333333333,0.2318,0.243
"87","Belleville","O3","2020","March",22,31.3125,0,0
"88","Belleville","O3","2020","April",22,36.6666666666667,0.6555,0.6481
"89","Belleville","O3","2020","May",21,35.0416666666667,0.8059,0.8082
"90","Belleville","O3","2020","June",22,36.9067028985507,0.0084,0.0064
"91","Belleville","O3","2020","July",23,30.5416666666667,0.9144,NA
"92","Belleville","O3","2020","August",21,24.1666666666667,0.0304,NA
"93","Belleville","O3","2020","September",22,25.3541666666667,0.3025,NA
"94","Belleville","O3","2020","October",22,20.8333333333333,0.4342,NA
"95","Belleville","O3","2020","November",21,25.9166666666667,0.1011,NA
"96","Belleville","O3","2020","December",23,24,0.9615,NA
"97","Belleville","PM25","2017-2019","January",68,5.1875,0.2794,0.2753
"98","Belleville","PM25","2017-2019","February",60,5.14583333333333,0.0689,0.057
"99","Belleville","PM25","2017-2019","March",66,4.04166666666667,0.0024,0.0024
"100","Belleville","PM25","2017-2019","April",62,4.72916666666667,0.0237,0.0303
"101","Belleville","PM25","2017-2019","May",69,5.45833333333333,0.0057,0.0084
"102","Belleville","PM25","2017-2019","June",62,4.63333333333333,0.2313,0.2138
"103","Belleville","PM25","2017-2019","July",64,7.1875,0.9073,NA
"104","Belleville","PM25","2017-2019","August",68,7.66666666666667,0.0105,NA
"105","Belleville","PM25","2017-2019","September",62,5.8125,0.158,NA
"106","Belleville","PM25","2017-2019","October",67,4.66666666666667,0.8842,NA
"107","Belleville","PM25","2017-2019","November",65,4.45833333333333,0.5546,NA
"108","Belleville","PM25","2017-2019","December",64,5.45833333333333,0.1167,NA
"109","Belleville","PM25","2020","January",23,5.125,0.8673,0.8655
"110","Belleville","PM25","2020","February",20,4.29166666666667,0.5297,0.5253
"111","Belleville","PM25","2020","March",22,5.64583333333333,0.062,0.0611
"112","Belleville","PM25","2020","April",22,4.45833333333333,0.6906,0.6945
"113","Belleville","PM25","2020","May",21,4.79166666666667,0.6371,0.9274
"114","Belleville","PM25","2020","June",22,7.125,0.0017,0.0014
"115","Belleville","PM25","2020","July",23,7.04166666666667,0.9229,NA
"116","Belleville","PM25","2020","August",21,5.41666666666667,0.1014,NA
"117","Belleville","PM25","2020","September",21,4.95833333333333,0.2589,NA
"118","Belleville","PM25","2020","October",21,4.45833333333333,0.8519,NA
"119","Belleville","PM25","2020","November",21,6.125,0.0928,NA
"120","Belleville","PM25","2020","December",23,3.83333333333333,0.159,NA
"121","Belleville","NO2","2017-2019","January",68,5.15833333333333,0.8213,0.8312
"122","Belleville","NO2","2017-2019","February",60,4.55625,0.6416,0.6115
"123","Belleville","NO2","2017-2019","March",66,3.14583333333333,3e-04,4e-04
"124","Belleville","NO2","2017-2019","April",63,2.95833333333333,0.4863,0.4842
"125","Belleville","NO2","2017-2019","May",69,2.95833333333333,0.9504,0.9471
"126","Belleville","NO2","2017-2019","June",63,2.98333333333333,0.8628,0.8652
"127","Belleville","NO2","2017-2019","July",66,2.73623188405797,0.117,NA
"128","Belleville","NO2","2017-2019","August",68,2.9125,0.1838,NA
"129","Belleville","NO2","2017-2019","September",62,3.70208333333333,3e-04,NA
"130","Belleville","NO2","2017-2019","October",68,3.52083333333333,0.2386,NA
